code,name,gender,function,category,country_code,country,country_full,disciplines,events
1899057,GLYNN KATIE,Female,Assistant Coach,C,GBR,Great Britain,Great Britain,Hockey,
1899058,HICKMAN MARK,Male,Coach,C,GBR,Great Britain,Great Britain,Hockey,
1899060,PAUL JODY,Male,Coach,C,GBR,Great Britain,Great Britain,Hockey,
1899061,RALPH DAVID,Male,Head Coach,C,GBR,Great Britain,Great Britain,Hockey,
1899062,SIEBEN CRAIG,Male,Coach,C,GBR,Great Britain,Great Britain,Hockey,
1899085,GRESKOWIAK ARNE,Male,Coach,C,GER,Germany,Germany,Basketball,
1899175,HOLGUIN RAMON,Male,Coach,C,DOM,Dominican Republic,Dominican Republic,Artistic Gymnastics,
1899285,WUDTKE ERIK,Male,Assistant Coach,C,GER,Germany,Germany,Handball,Men
1899286,BEPPLER JOCHEN,Male,Assistant Coach,C,GER,Germany,Germany,Handball,Women
1899289,ANDERSSON MATTIAS,Male,Assistant Coach,C,GER,Germany,Germany,Handball,Men
1899294,GISLASON ALFRED,Male,Head Coach,C,GER,Germany,Germany,Handball,Men
1899296,GAUGISCH MARKUS,Male,Head Coach,C,GER,Germany,Germany,Handball,Women
1899298,JANKOVIC JASMINA,Female,Assistant Coach,C,GER,Germany,Germany,Handball,Women
1900728,HENRY THIERRY,Male,Head Coach,C,FRA,France,France,Football,Men
1900729,BATICLE GERALD,Male,Assistant Coach,C,FRA,France,France,Football,Men
1900730,CLICHY GAEL,Male,Assistant Coach,C,FRA,France,France,Football,Men
1900731,JANOT JEREMIE,Male,Goalkeeper Coach,C,FRA,France,France,Football,Men
1901253,PEREIRA BRAVO JOAO,Male,Assistant Coach,C,CAN,Canada,Canada,Volleyball,Men
1901258,SAMMELVUO TUOMAS,Male,Head Coach,C,CAN,Canada,Canada,Volleyball,Men
1901261,HAWKINS MICHAEL,Male,Assistant Coach,C,CAN,Canada,Canada,Volleyball,Men
1901805,ZHENG WEI,Female,Coach,C,CHN,China,People's Republic of China,Basketball,Women
1901806,JIA NAN,Male,Coach,C,CHN,China,People's Republic of China,Basketball,
1901810,PARK MYUNGSOO,Male,Assistant Coach,C,CHN,China,People's Republic of China,Basketball,
1901818,RUPEREZ CESAR,Male,Assistant Coach,C,CHN,China,People's Republic of China,Basketball,Women
1901832,USUI TOMOHIRO,Male,Coach,C,JPN,Japan,Japan,Basketball,
1901835,KONNO KAKERU,Male,Assistant Coach,C,JPN,Japan,Japan,Basketball,
1901836,SUZUKI YOSHIKAZU,Male,Assistant Coach,C,JPN,Japan,Japan,Basketball,Women
1901839,ONZUKA TORU,Male,Coach,C,JPN,Japan,Japan,Basketball,Women
1901846,SASSA NORIO,Male,Coach,C,JPN,Japan,Japan,Basketball,
1901849,GAINES COREY,Male,Assistant Coach,C,JPN,Japan,Japan,Basketball,Men
1901850,HOVASSE TOM,Male,Coach,C,JPN,Japan,Japan,Basketball,Men
1901851,KATSUHISA GEOFFREY,Male,Assistant Coach,C,JPN,Japan,Japan,Basketball,
1902695,CHOI CHATCHAI,Male,Coach,C,THA,Thailand,Thailand,Taekwondo,
1902795,SONKHAM CHANATIP,Female,Coach,C,THA,Thailand,Thailand,Taekwondo,
1902914,RUSEK PAWEL,Male,Assistant Coach,C,POL,Poland,Poland,Volleyball,Men
1902918,GRBIC NIKOLA,Male,Head Coach,C,POL,Poland,Poland,Volleyball,Men
1902919,SWACZYNA ADAM,Male,Assistant Coach,C,POL,Poland,Poland,Volleyball,Men
1903371,MATOSEVIC VALTER,Male,Assistant Coach,C,CRO,Croatia,Croatia,Handball,Men
1903379,SIGURDSSON DAGUR,Male,Head Coach,C,CRO,Croatia,Croatia,Handball,Men
1903381,SPOLJARIC DENIS,Male,Assistant Coach,C,CRO,Croatia,Croatia,Handball,Men
1903569,DUPUIS KEVIN,Male,Coach,C,FRA,France,France,Artistic Gymnastics,
1903570,GEORGE MARTINE,Female,Coach,C,FRA,France,France,Artistic Gymnastics,
1903575,POTAPENKO VALENTIN,Male,Coach,C,FRA,France,France,Artistic Gymnastics,
1903577,HAGARD MONIQUE,Female,Coach,C,FRA,France,France,Artistic Gymnastics,
1903584,BARANOVA VOLCHETSKAYA ANNA,Female,Coach,C,FRA,France,France,Rhythmic Gymnastics,
1903585,BAYON SARA,Female,Coach,C,FRA,France,France,Rhythmic Gymnastics,
1903590,GUILLIERE KATIA,Female,Coach,C,FRA,France,France,Rhythmic Gymnastics,
1903594,MILAN GREGORY,Male,Coach,C,FRA,France,France,Rhythmic Gymnastics,
1903707,ABDELFATTAH AZIZA,Female,Coach,C,EGY,Egypt,Egypt,Artistic Swimming,Team
1903722,MOHAMED MAI,Female,Coach,C,EGY,Egypt,Egypt,Artistic Swimming,Duet
1903754,LATIF YASMINE,Female,Coach,C,EGY,Egypt,Egypt,Artistic Swimming,Team
1903771,FABRE JULIE,Female,Coach,C,FRA,France,France,Artistic Swimming,Team
1903772,OBRY LAURE,Female,Coach,C,FRA,France,France,Artistic Swimming,Team
1903773,ANNEQUIN MARIE,Female,Coach,C,FRA,France,France,Artistic Swimming,
1903829,ANGILLIS PASCAL,Male,Assistant Coach,C,BEL,Belgium,Belgium,Basketball,
1903832,KAISER PIERRE-YVES,Male,Coach,C,BEL,Belgium,Belgium,Basketball,
1903833,LORENT JILL,Female,Assistant Coach,C,BEL,Belgium,Belgium,Basketball,Women
1903888,DE SCHEPPER BRAM,Male,Coach,C,BEL,Belgium,Belgium,Artistic Gymnastics,
1903889,DECKX STEFAN,Male,Coach,C,BEL,Belgium,Belgium,Artistic Gymnastics,
1903900,RECKINGER XAVIER,Male,Assistant Coach,C,BEL,Belgium,Belgium,Hockey,Men
1904214,JEONG EUL JIN,Male,Coach,C,KOR,Korea,Republic of Korea,Taekwondo,
1904215,KANG BO HYEON,Female,Coach,C,KOR,Korea,Republic of Korea,Taekwondo,
1904220,LEE DONGCHUL,Male,Coach,C,KOR,Korea,Republic of Korea,Taekwondo,
1904221,OH HYERI,Female,Coach,C,KOR,Korea,Republic of Korea,Taekwondo,
1904223,SON HYO BONG,Male,Coach,C,KOR,Korea,Republic of Korea,Taekwondo,
1904759,BEAGLEY MICHAEL,Male,Coach,C,GBR,Great Britain,Great Britain,Artistic Gymnastics,
1904761,CLAY JENNY,Female,Coach,C,GBR,Great Britain,Great Britain,Artistic Gymnastics,
1904762,COLLIE BARRY,Male,Coach,C,GBR,Great Britain,Great Britain,Artistic Gymnastics,
1904765,HALL PAUL,Male,Coach,C,GBR,Great Britain,Great Britain,Artistic Gymnastics,
1904766,HANN SCOTT,Male,Coach,C,GBR,Great Britain,Great Britain,Artistic Gymnastics,
1904767,HOWELLS BEN,Male,Coach,C,GBR,Great Britain,Great Britain,Artistic Gymnastics,
1904768,INCE BRETT,Male,Coach,C,GBR,Great Britain,Great Britain,Artistic Gymnastics,
1904769,KENWRIGHT DAVID,Male,Coach,C,GBR,Great Britain,Great Britain,Artistic Gymnastics,
1904771,RICHARDSON JOSHUA,Male,Coach,C,GBR,Great Britain,Great Britain,Artistic Gymnastics,
