medal_type,medal_code,medal_date,name,country_code,gender,discipline,event,event_type,url_event,code
Silver Medal,2,2024-08-03,GRAE MORRIS,AUS,M,Sailing,Men's Windsurfing,ATH,/en/paris-2024/results/sailing/men-s-windsurfing/fnl-000100--,1945982
Bronze Medal,3,2024-08-03,LUUC VAN OPZEELAND,NED,M,Sailing,Men's Windsurfing,ATH,/en/paris-2024/results/sailing/men-s-windsurfing/fnl-000100--,1970505
Gold Medal,1,2024-08-03,MARTA MAGGETTI,ITA,W,Sailing,Women's Windsurfing,ATH,/en/paris-2024/results/sailing/women-s-windsurfing/fnl-000100--,1899653
Silver Medal,2,2024-08-03,SHARON KANTOR,ISR,W,Sailing,Women's Windsurfing,ATH,/en/paris-2024/results/sailing/women-s-windsurfing/fnl-000100--,1927733
Bronze Medal,3,2024-08-03,EMMA WILSON,GBR,W,Sailing,Women's Windsurfing,ATH,/en/paris-2024/results/sailing/women-s-windsurfing/fnl-000100--,1899748
Gold Medal,1,2024-08-03,YANG JIIN,KOR,W,Shooting,25m Pistol Women,ATH,/en/paris-2024/results/shooting/25m-pistol-women/fnl-000100--,1893995
Silver Medal,2,2024-08-03,CAMILLE JEDRZEJEWSKI,FRA,W,Shooting,25m Pistol Women,ATH,/en/paris-2024/results/shooting/25m-pistol-women/fnl-000100--,1888429
Bronze Medal,3,2024-08-03,VERONIKA MAJOR,HUN,W,Shooting,25m Pistol Women,ATH,/en/paris-2024/results/shooting/25m-pistol-women/fnl-000100--,1899493
Gold Medal,1,2024-08-03,VINCENT HANCOCK,USA,M,Shooting,Skeet Men,ATH,/en/paris-2024/results/shooting/skeet-men/fnl-000100--,1944354
Silver Medal,2,2024-08-03,CONNER LYNN PRINCE,USA,M,Shooting,Skeet Men,ATH,/en/paris-2024/results/shooting/skeet-men/fnl-000100--,1944385
Bronze Medal,3,2024-08-03,LEE MENG YUAN,TPE,M,Shooting,Skeet Men,ATH,/en/paris-2024/results/shooting/skeet-men/fnl-000100--,1569852
Gold Medal,1,2024-08-03,KRISTOF MILAK,HUN,M,Swimming,Men's 100m Butterfly,ATH,/en/paris-2024/results/swimming/men-s-100m-butterfly/fnl-000100--,1905860
Silver Medal,2,2024-08-03,JOSH LIENDO,CAN,M,Swimming,Men's 100m Butterfly,ATH,/en/paris-2024/results/swimming/men-s-100m-butterfly/fnl-000100--,1967069
Bronze Medal,3,2024-08-03,ILYA KHARUN,CAN,M,Swimming,Men's 100m Butterfly,ATH,/en/paris-2024/results/swimming/men-s-100m-butterfly/fnl-000100--,1967058
Gold Medal,1,2024-08-03,UNITED STATES,USA,X,Swimming,Mixed 4 x 100m Medley Relay,TEAM,/en/paris-2024/results/swimming/mixed-4-x-100m-medley-relay/fnl-000100--,SWMX4X100MMDUSA01
Silver Medal,2,2024-08-03,CHINA,CHN,X,Swimming,Mixed 4 x 100m Medley Relay,TEAM,/en/paris-2024/results/swimming/mixed-4-x-100m-medley-relay/fnl-000100--,SWMX4X100MMDCHN01
Bronze Medal,3,2024-08-03,AUSTRALIA,AUS,X,Swimming,Mixed 4 x 100m Medley Relay,TEAM,/en/paris-2024/results/swimming/mixed-4-x-100m-medley-relay/fnl-000100--,SWMX4X100MMDAUS01
Gold Medal,1,2024-08-03,SUMMER MCINTOSH,CAN,W,Swimming,Women's 200m Individual Medley,ATH,/en/paris-2024/results/swimming/women-s-200m-individual-medley/fnl-000100--,1967140
Silver Medal,2,2024-08-03,KATE DOUGLASS,USA,W,Swimming,Women's 200m Individual Medley,ATH,/en/paris-2024/results/swimming/women-s-200m-individual-medley/fnl-000100--,1935895
Bronze Medal,3,2024-08-03,KAYLEE MCKEOWN,AUS,W,Swimming,Women's 200m Individual Medley,ATH,/en/paris-2024/results/swimming/women-s-200m-individual-medley/fnl-000100--,1946198
Gold Medal,1,2024-08-03,KATIE LEDECKY,USA,W,Swimming,Women's 800m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-800m-freestyle/fnl-000100--,1935938
Silver Medal,2,2024-08-03,ARIARNE TITMUS,AUS,W,Swimming,Women's 800m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-800m-freestyle/fnl-000100--,1946150
Bronze Medal,3,2024-08-03,PAIGE MADDEN,USA,W,Swimming,Women's 800m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-800m-freestyle/fnl-000100--,1935943
Gold Medal,1,2024-08-03,CHEN MENG,CHN,W,Table Tennis,Women's Singles,HATH,/en/paris-2024/results/table-tennis/women-s-singles/fnl-000100--,1902307
Silver Medal,2,2024-08-03,SUN YINGSHA,CHN,W,Table Tennis,Women's Singles,HATH,/en/paris-2024/results/table-tennis/women-s-singles/fnl-000100--,1902313
Bronze Medal,3,2024-08-03,HINA HAYATA,JPN,W,Table Tennis,Women's Singles,HATH,/en/paris-2024/results/table-tennis/women-s-singles/fnl-000200--,1931100
Gold Medal,1,2024-08-03,EBDEN/PEERS,AUS,M,Tennis,Men's Doubles,HCOUP,/en/paris-2024/results/tennis/men-s-doubles/fnl-000100--,TENMDOUBLES-AUS02
Silver Medal,2,2024-08-03,KRAJICEK/RAM,USA,M,Tennis,Men's Doubles,HCOUP,/en/paris-2024/results/tennis/men-s-doubles/fnl-000100--,TENMDOUBLES-USA02
Bronze Medal,3,2024-08-03,FRITZ/PAUL,USA,M,Tennis,Men's Doubles,HCOUP,/en/paris-2024/results/tennis/men-s-doubles/fnl-000200--,TENMDOUBLES-USA01
Bronze Medal,3,2024-08-03,LORENZO MUSETTI,ITA,M,Tennis,Men's Singles,HATH,/en/paris-2024/results/tennis/men-s-singles/fnl-000200--,1562400
Gold Medal,1,2024-08-03,ZHENG QINWEN,CHN,W,Tennis,Women's Singles,HATH,/en/paris-2024/results/tennis/women-s-singles/fnl-000100--,1927709
Silver Medal,2,2024-08-03,DONNA VEKIC,CRO,W,Tennis,Women's Singles,HATH,/en/paris-2024/results/tennis/women-s-singles/fnl-000100--,1554972
Gold Medal,1,2024-08-04,KIM WOOJIN,KOR,M,Archery,Men's Individual,HATH,/en/paris-2024/results/archery/men-s-individual/fnl-000100--,1902135
Silver Medal,2,2024-08-04,BRADY ELLISON,USA,M,Archery,Men's Individual,HATH,/en/paris-2024/results/archery/men-s-individual/fnl-000100--,1955595
Bronze Medal,3,2024-08-04,LEE WOOSEOK,KOR,M,Archery,Men's Individual,HATH,/en/paris-2024/results/archery/men-s-individual/fnl-000200--,1902144
Gold Medal,1,2024-08-04,LIU YANG,CHN,M,Artistic Gymnastics,Men's Rings,ATH,/en/paris-2024/results/artistic-gymnastics/men-s-rings/fnl-000001--,1918856
Silver Medal,2,2024-08-04,ZOU JINGYUAN,CHN,M,Artistic Gymnastics,Men's Rings,ATH,/en/paris-2024/results/artistic-gymnastics/men-s-rings/fnl-000001--,1918865
