start_date,end_date,day,status,discipline,discipline_code,event,event_medal,phase,gender,event_type,venue,venue_code,location_description,location_code,url
2024-08-09 20:34:00.000,2024-08-09 20:49:00.000,2024-08-09,FINISHED,Taekwondo,TKW,Men -80kg,3,Men -80kg Bronze Medal Contests,M,HATH,Grand Palais,GRP,Grand Palais,GRP,/en/paris-2024/results/taekwondo/men--80kg/repf000100--
2024-08-09 20:47:00.000,2024-08-09 20:54:45.000,2024-08-09,FINISHED,Breaking,BKG,B-Girls,0,B-Girls Semifinals,W,HATH,La Concorde 1,LC1,La Concorde 1,LC1,/en/paris-2024/results/breaking/b-girls/sfnl000100--
2024-08-09 20:55:00.000,2024-08-09 21:02:45.000,2024-08-09,FINISHED,Breaking,BKG,B-Girls,0,B-Girls Semifinals,W,HATH,La Concorde 1,LC1,La Concorde 1,LC1,/en/paris-2024/results/breaking/b-girls/sfnl000200--
2024-08-09 21:00:00.000,2024-08-09 22:45:00.000,2024-08-09,FINISHED,Basketball,BKB,Women,0,Women's Semifinals,W,HTEAM,Bercy Arena,BCY,Bercy Arena,BCY,/en/paris-2024/results/basketball/women/sfnl000100--
2024-08-09 21:00:00.000,2024-08-09 21:50:00.000,2024-08-09,FINISHED,Beach Volleyball,VBV,Women,3,Women's Finals,W,HTEAM,Eiffel Tower Stadium,EIF,Eiffel Tower Stadium - Centre Court,BV0,/en/paris-2024/results/beach-volleyball/women/fnl-000200--
2024-08-09 21:04:00.000,2024-08-09 21:19:00.000,2024-08-09,FINISHED,Taekwondo,TKW,Men -80kg,3,Men -80kg Bronze Medal Contests,M,HATH,Grand Palais,GRP,Grand Palais,GRP,/en/paris-2024/results/taekwondo/men--80kg/repf000200--
2024-08-09 21:19:00.000,2024-08-09 21:28:10.000,2024-08-09,FINISHED,Breaking,BKG,B-Girls,3,B-Girls Finals,W,HATH,La Concorde 1,LC1,La Concorde 1,LC1,/en/paris-2024/results/breaking/b-girls/fnl-000200--
2024-08-09 21:29:00.000,2024-08-09 21:38:10.000,2024-08-09,FINISHED,Breaking,BKG,B-Girls,1,B-Girls Finals,W,HATH,La Concorde 1,LC1,La Concorde 1,LC1,/en/paris-2024/results/breaking/b-girls/fnl-000100--
2024-08-09 21:30:00.000,2024-08-09 21:41:00.000,2024-08-09,FINISHED,Boxing,BOX,Men's 71kg,1,Men's 71kg - Final,M,HATH,Roland-Garros Stadium,RGA,Roland-Garros Stadium,RGA,/en/paris-2024/results/boxing/men-s-71kg/fnl-000100--
2024-08-09 21:30:00.000,2024-08-09 23:30:00.000,2024-08-09,FINISHED,Handball,HBL,Men,0,Men's Semifinals,M,HTEAM,Pierre Mauroy Stadium,LIL,Pierre Mauroy Stadium,LIL,/en/paris-2024/results/handball/men/sfnl000200--
2024-08-09 21:37:00.000,2024-08-09 21:52:00.000,2024-08-09,FINISHED,Taekwondo,TKW,Men -80kg,1,Men -80kg Gold Medal Contest,M,HATH,Grand Palais,GRP,Grand Palais,GRP,/en/paris-2024/results/taekwondo/men--80kg/fnl-000100--
2024-08-09 22:30:00.000,2024-08-09 23:20:00.000,2024-08-09,FINISHED,Beach Volleyball,VBV,Women,1,Women's Finals,W,HTEAM,Eiffel Tower Stadium,EIF,Eiffel Tower Stadium - Centre Court,BV0,/en/paris-2024/results/beach-volleyball/women/fnl-000100--
2024-08-09 22:34:00.000,2024-08-09 22:45:00.000,2024-08-09,FINISHED,Boxing,BOX,Men's 92kg,1,Men's 92kg - Final,M,HATH,Roland-Garros Stadium,RGA,Roland-Garros Stadium,RGA,/en/paris-2024/results/boxing/men-s-92kg/fnl-000100--
2024-08-10 09:00:00.000,2024-08-10 09:09:00.000,2024-08-10,FINISHED,Taekwondo,TKW,Men +80kg,0,Men +80kg Qualification Contest,M,HATH,Grand Palais,GRP,Grand Palais,GRP,/en/paris-2024/results/taekwondo/men--plus-80kg/r32-000100--
2024-08-10 09:00:00.000,2024-08-10 10:25:00.000,2024-08-10,FINISHED,Water Polo,WPO,Women,0,Women's Finals,W,HTEAM,Paris La Defense Arena,DEF,Paris La Defense Arena,DEF,/en/paris-2024/results/water-polo/women/fnl-000400--
2024-08-10 09:21:00.000,2024-08-10 09:33:00.000,2024-08-10,FINISHED,Taekwondo,TKW,Men +80kg,0,Men +80kg Round of 16,M,HATH,Grand Palais,GRP,Grand Palais,GRP,/en/paris-2024/results/taekwondo/men--plus-80kg/8fnl000100--
2024-08-10 09:46:00.000,2024-08-10 09:58:00.000,2024-08-10,FINISHED,Taekwondo,TKW,Men +80kg,0,Men +80kg Round of 16,M,HATH,Grand Palais,GRP,Grand Palais,GRP,/en/paris-2024/results/taekwondo/men--plus-80kg/8fnl000200--
2024-08-10 10:00:00.000,2024-08-10 12:00:00.000,2024-08-10,FINISHED,Handball,HBL,Women,3,Women's Finals,W,HTEAM,Pierre Mauroy Stadium,LIL,Pierre Mauroy Stadium,LIL,/en/paris-2024/results/handball/women/fnl-000200--
2024-08-10 10:10:00.000,2024-08-10 10:22:00.000,2024-08-10,FINISHED,Taekwondo,TKW,Men +80kg,0,Men +80kg Round of 16,M,HATH,Grand Palais,GRP,Grand Palais,GRP,/en/paris-2024/results/taekwondo/men--plus-80kg/8fnl000300--
2024-08-10 10:35:00.000,2024-08-10 10:47:00.000,2024-08-10,FINISHED,Taekwondo,TKW,Men +80kg,0,Men +80kg Round of 16,M,HATH,Grand Palais,GRP,Grand Palais,GRP,/en/paris-2024/results/taekwondo/men--plus-80kg/8fnl000400--
2024-08-10 10:35:00.000,2024-08-10 12:00:00.000,2024-08-10,FINISHED,Water Polo,WPO,Women,3,Women's Finals,W,HTEAM,Paris La Defense Arena,DEF,Paris La Defense Arena,DEF,/en/paris-2024/results/water-polo/women/fnl-000200--
2024-08-10 10:59:00.000,2024-08-10 11:11:00.000,2024-08-10,FINISHED,Taekwondo,TKW,Men +80kg,0,Men +80kg Round of 16,M,HATH,Grand Palais,GRP,Grand Palais,GRP,/en/paris-2024/results/taekwondo/men--plus-80kg/8fnl000500--
2024-08-10 11:00:00.000,2024-08-10 12:45:00.000,2024-08-10,FINISHED,Basketball,BKB,Men,3,Men's Finals,M,HTEAM,Bercy Arena,BCY,Bercy Arena,BCY,/en/paris-2024/results/basketball/men/fnl-000200--
2024-08-10 11:24:00.000,2024-08-10 11:36:00.000,2024-08-10,FINISHED,Taekwondo,TKW,Men +80kg,0,Men +80kg Round of 16,M,HATH,Grand Palais,GRP,Grand Palais,GRP,/en/paris-2024/results/taekwondo/men--plus-80kg/8fnl000600--
2024-08-10 11:48:00.000,2024-08-10 12:00:00.000,2024-08-10,FINISHED,Taekwondo,TKW,Men +80kg,0,Men +80kg Round of 16,M,HATH,Grand Palais,GRP,Grand Palais,GRP,/en/paris-2024/results/taekwondo/men--plus-80kg/8fnl000700--
2024-08-10 12:13:00.000,2024-08-10 12:25:00.000,2024-08-10,FINISHED,Taekwondo,TKW,Men +80kg,0,Men +80kg Round of 16,M,HATH,Grand Palais,GRP,Grand Palais,GRP,/en/paris-2024/results/taekwondo/men--plus-80kg/8fnl000800--
2024-08-10 13:00:00.000,2024-08-10 15:15:00.000,2024-08-10,FINISHED,Volleyball,VVO,Men,1,Men's Finals,M,HTEAM,South Paris Arena 1,SP1,South Paris Arena 1,SP1,/en/paris-2024/results/volleyball/men/fnl-000100--
2024-08-10 14:00:00.000,2024-08-10 15:25:00.000,2024-08-10,FINISHED,Water Polo,WPO,Women,0,Women's Finals,W,HTEAM,Paris La Defense Arena,DEF,Paris La Defense Arena,DEF,/en/paris-2024/results/water-polo/women/fnl-000300--
2024-08-10 14:40:00.000,2024-08-10 14:53:00.000,2024-08-10,FINISHED,Taekwondo,TKW,Men +80kg,0,Men +80kg Quarterfinals,M,HATH,Grand Palais,GRP,Grand Palais,GRP,/en/paris-2024/results/taekwondo/men--plus-80kg/qfnl000100--
2024-08-10 15:00:00.000,2024-08-10 17:00:00.000,2024-08-10,FINISHED,Handball,HBL,Women,1,Women's Finals,W,HTEAM,Pierre Mauroy Stadium,LIL,Pierre Mauroy Stadium,LIL,/en/paris-2024/results/handball/women/fnl-000100--
2024-08-10 15:06:00.000,2024-08-10 15:19:00.000,2024-08-10,FINISHED,Taekwondo,TKW,Men +80kg,0,Men +80kg Quarterfinals,M,HATH,Grand Palais,GRP,Grand Palais,GRP,/en/paris-2024/results/taekwondo/men--plus-80kg/qfnl000200--
2024-08-10 15:32:00.000,2024-08-10 15:45:00.000,2024-08-10,FINISHED,Taekwondo,TKW,Men +80kg,0,Men +80kg Quarterfinals,M,HATH,Grand Palais,GRP,Grand Palais,GRP,/en/paris-2024/results/taekwondo/men--plus-80kg/qfnl000300--
2024-08-10 15:35:00.000,2024-08-10 17:00:00.000,2024-08-10,FINISHED,Water Polo,WPO,Women,1,Women's Finals,W,HTEAM,Paris La Defense Arena,DEF,Paris La Defense Arena,DEF,/en/paris-2024/results/water-polo/women/fnl-000100--
2024-08-10 15:58:00.000,2024-08-10 16:11:00.000,2024-08-10,FINISHED,Taekwondo,TKW,Men +80kg,0,Men +80kg Quarterfinals,M,HATH,Grand Palais,GRP,Grand Palais,GRP,/en/paris-2024/results/taekwondo/men--plus-80kg/qfnl000400--
2024-08-10 16:00:00.000,2024-08-10 16:05:50.000,2024-08-10,FINISHED,Breaking,BKG,B-Boys,0,B-Boys Round Robin - Group A,M,HATH,La Concorde 1,LC1,La Concorde 1,LC1,/en/paris-2024/results/breaking/b-boys/gpa-000100--
2024-08-10 16:05:00.000,2024-08-10 16:11:00.000,2024-08-10,FINISHED,Breaking,BKG,B-Boys,0,B-Boys Round Robin - Group A,M,HATH,La Concorde 1,LC1,La Concorde 1,LC1,/en/paris-2024/results/breaking/b-boys/gpa-000200--
